ein,name,zip,zip5,nteefinal
943477005,ALLIANCE COLLEGE READY MIDDLE ACADEMY NO 5,90017-3917,90017,B42
273739336,ALLIANCE COLLEGE READY MIDDLE ACADEMY NO 7,,90017,B42
510581154,ALLIANCE JACK H SKIRBALL MIDDLE SCHOOL,90017-3917,90017,B40
542110067,ALLIANT EDUCATIONAL FOUNDATION,94133-1220,94133,B43
381359083,ALMA COLLEGE,48801-1504,48801,B42
463125521,ALMA EDUCATION INTERNATIONAL INC,93024-0202,93024,B40
474921180,ALTERNATIVE SEMINARY,37414-0935,37414,B50
231522643,ALVERNIA UNIVERSITY,19607-9518,19607,B43
390806263,ALVERNO COLLEGE,53234-3922,53234,B43
561648007,AMBASSADOR BAPTIST COLLEGE,28089-0158,28089,B42
751786007,AMBERTON UNIVERSITY,75041-5511,75041,B43
471203726,AMERICA CARITAS UNIVERSITY,92509-7124,92509,B43
134304343,AMERICA CHINESE EVANGELICAL SEMINARY,94085-4513,94085,B50
463833063,AMERICA EVANGELICAL SEMINARY,07657-2426,7657,B50
954860047,AMERICA EVANGELICAL UNIVERSITY,90006-5860,90006,B43
132590811,AMERICAN ACADEMY MCALLISTER INSTITUTE OF FUNERAL SERVICE INC,10019-3545,10019,B41
130429660,AMERICAN ACADEMY OF DRAMATIC ARTS,10016-7004,10016,B41
620485724,AMERICAN BAPTIST THEOLOGICAL SEMINARY,37207-4952,37207,B42
473704057,AMERICAN CHONGSHIN UNIVERSITY,91607-4707,91607,B43
231352008,AMERICAN COLLEGE,19010-2105,19010,B50
562516620,AMERICAN COLLEGE OF CERTIFIED WOUND SPECIALIST,81502-1672,45431,B40
660350945,AMERICAN COLLEGE OF PUERTO RICO INC,00960-6020,960,B43
942702223,AMERICAN COLLEGE OF TRADITIONAL CHINESE MEDICINE,94107-2813,94107,B50
860200899,AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD INC,85021-2107,85021,B42
486131317,AMERICAN INSTITUTE OF AERONAUTICS AND ASTRONAUTICS,67260-0044,67260,B43
710887547,AMERICAN INSTITUTE OF ARCHITECTS COLLEGE OF FELLOWS FUND INC,20006-5292,20006,B42
420681067,AMERICAN INSTITUTE OF BUSINESS,50305-1392,50321,B41
431516500,AMERICAN INSTITUTE OF GRAPHIC ARTS,63188-1031,63188,B43
470750413,AMERICAN INSTITUTE OF GRAPHIC ARTS,68124-3511,68124,B41
232222829,AMERICAN INSTITUTE OF GRAPHIC ARTS,19106-4542,19106,B43
264808143,AMERICAN INSTITUTE OF HOLISTIC THEOLOGY,35205-2847,35205,B50
237414466,AMERICAN INSTITUTE OF INDUSTRIAL ENGINEERS,49008-0000,49008,B43
570783483,AMERICAN INSTITUTE OF INDUSTRIAL ENGINEERS INC,29634-0001,29634,B43
237400399,AMERICAN INSTITUTE OF INDUSTRIAL ENGINEERS INC,45701-0000,45701,B43
522441035,AMERICAN INTERGLOBAL UNIVERSITY INC,,22193,B42
042103701,AMERICAN INTERNATIONAL COLLEGE,01109-3151,1109,B43
363171297,AMERICAN ISLAMIC COLLEGE INC,60613-3106,60613,B42
951684064,AMERICAN JEWISH UNIVERSITY,90077-1519,90077,B43
860949264,AMERICAN MEDICAL COLLEGE OF HOMEOPATHY,85015-3477,85015,B50
541756821,AMERICAN OPEN UNIVERSITY INC,22302-1507,22302,B43
770593437,AMERICAN PATHWAYS UNIVERSITY,80205-5319,80205,B43
330611334,AMERICAN PURLINTON UNIVERSITY,91768-3289,91768,B43
200354983,AMERICAN SPORTS UNIVERSITY,92401-1518,92401,B43
465430698,AMERICAN STATE UNIVERSITY,90010-2207,90010,B43
530196549,AMERICAN UNIVERSITY,20016-0000,20016,B43
135647700,AMERICAN UNIVERSITY IN CAIRO,10166-0005,10166,B43
135596846,AMERICAN UNIVERSITY OF BEIRUT,10017-2322,10017,B42
472420967,AMERICAN UNIVERSITY OF MYANMAR INC,10573-1066,10573,B43
980013023,AMERICAN UNIVERSITY OF PARIS INC,80206-4084,80206,B43
237110060,AMERICAN UNIVERSITY OF ROME,20009-5501,20009,B43
463107438,AMERICAN UNIVERSITY OF SOVEREIGN NATIONS INC,85550-0530,85250,B43
273545996,AMERICAN UNIVERSITY OF TECHNOLOGY USA INCORPORATED,94085-3922,94085,B43
850322460,AMERICAN UNIVERSITY OF THE CARIBBEAN,34285-3901,34285,B43
263895032,AMERSTATE UNIVERSITY LTD,53403-1048,53403,B43
450474305,AMES CHRISTIAN UNIVERSITY INC,33912-7513,33912,B43
042103542,AMHERST COLLEGE TRUSTEES,01002-5000,1002,B42
465559644,AMITY UNIVERSITY INC,10119-0002,92324,B43
237034324,AMRIDGE UNIVERSITY INC,36117-3520,36117,B43
135600382,ANATOLIA COLLEGE,02108-2301,2108,B42
356071917,ANCILLA DOMINI COLLEGE,46513-0000,46513,B41
464645902,ANDERSON CENTER INTERNATIONAL INC,12580-0367,12580,B40
570324906,ANDERSON UNIVERSITY,29621-4002,29621,B42
350867954,ANDERSON UNIVERSITY INC,46012-3462,46012,B43
581989996,ANDERSONVILLE BAPTIST SEMINARY INC,31730-1762,31730,B50
042104775,ANDOVER NEWTON THEOLOGICAL SCHOOL,02459-2248,2459,B50
580568687,ANDREW COLLEGE,39840-5550,39840,B41
381627600,ANDREWS UNIVERSITY,49104-0001,49104,B43
020548899,ANGELOS BIBLE COLLEGE,23701-4232,23701,B42
660473469,ANN WIGMORE NATURAL HEALTH INSTITUTE INC,00677-0429,677,B50
208449705,ANNENBERG SCHOOL OF NURSING,91335-3711,91335,B50
271060831,ANTIOCH THEOLOGICAL SEMINARY,75243-2829,75243,B50
310536640,ANTIOCH UNIVERSITY,45387-1745,45387,B43
480851998,APOSTOLIC FAITH CHURCH BIBLE COLLEGE INC,66713-1540,66713,B42
161715310,APOSTROPHE MISSION FOUNDATION,75379-6723,75379,B50
953752337,APPA ASSOCIATION OF HIGHER EDUCATION FACILITIES OFFICERS PACIFIC COAST APPA,98012-0000,98012,B43
550370901,APPALACHIAN BIBLE COLLEGE INC,25880-9554,25880,B42
260069167,APPALACHIAN COLLEGE OF PHARMACY,24631-9210,24631,B43
541743079,APPALACHIAN SCHOOL OF LAW,24614-7151,24614,B50
581633369,APPLIED LIFE MINISTRIES INC,71910-8500,71910,B42
620812782,AQUINAS COLLEGE,37205-2148,37205,B42
381367080,AQUINAS COLLEGE INC,49506-1741,49506,B43
231352620,ARCADIA UNIVERSITY,19038-3215,19038,B43
363912263,ARCHEWORKS,60654-6997,60654,B50
300489768,ARISTOTLE UNIVERSITY SCHOOL OF LAW,95822-3039,95822,B43
860186050,ARIZONA CHRISTIAN UNIVERSITY,85032-7042,85032,B42
942932218,ARIZONA COMMUNITY COLLEGE ATHLETIC CONFERENCE,85283-4275,85283,B41
260704109,ARKANSAS AIMS,72204-0000,72204,B50
710298658,ARKANSAS BAPTIST COLLEGE,72202-0000,72202,B42
465138928,ARKANSAS COLLEGES OF HEALTH EDUCATION,72916-6024,72903,B42
750983821,ARLINGTON BAPTIST COLLEGE,76012-3425,76012,B42
850297355,ARMAND HAMMER UNITED WORLD COLLEGE OF THE AMERICAN WEST,87731-0000,87731,B42
311601569,ART ACADEMY OF CINCINNATI,45202-7106,45202,B42
951921340,ART CENTER COLLEGE OF DESIGN,91103-1924,91103,B43
362167725,ART INSTITUTE OF CHICAGO,60603-6110,60603,B43
610458355,ASBURY COLLEGE,40390-1152,40390,B43
610445823,ASBURY THEOLOGICAL SEMINARY,40390-1199,40390,B50
451732585,ASHEVILLE BUNCOMBE TECHNICAL COMMUNITY COLLEGE EDUCATION AND EN,28801-4816,28801,B41
340714626,ASHLAND UNIVERSITY,44805-3702,44805,B43
830409024,ASIA PACIFIC COLLEGE,96822-4430,96822,B42
582022462,ASOCIACION PARA LA EDUCACION TEOLOGICA HISPANA INC,32867-7848,32867,B50
464336787,ASSEMBLIES OF GOD THEOLOGICAL SCHOOL OF NEW YORK,11354-2523,11354,B50
010802914,ASSOCIATED STUDENTS OF CALIFORNIA STATE UNIVERSITY CHANNEL ISLANDS,93012-8599,93012,B43
521932054,ASSOCIATION OF BOARDS IN THEOLOGICAL EDUCATION IN TRUST,19801-6614,19801,B50
562476876,ASSOCIATION OF THEOLOGICAL SCHOOLS,15275-1110,15275,B50
042105776,ASSUMPTION COLLEGE,01609-1265,1609,B43
260664313,ASU PREPARATORY ACADEMY,85287-7304,85281,B43
453085288,ATERES ZEVULUN INSTITUTE INC,08701-1501,8701,B50
061692099,ATLANTA GENERAL EDUCATION CENTER INC,30096-7161,30096,B40
650512087,ATLANTIC INSTITUTE OF ORIENTAL MEDICINE,33301-3510,33301,B50
042178860,ATLANTIC UNION COLLEGE,01561-0000,1561,B42
540784341,ATLANTIC UNIVERSITY,23451-2061,23451,B50
660404491,ATLANTIC UNIVERSITY COLLEGE INC,00970-3918,970,B42
150532053,AUBURN THEOLOGICAL SEMINARY,10115-0002,10115,B50
562535892,AUBURN UNIVERSITY REAL ESTATE FOUNDATION INC,36849-5170,36849,B43
410694721,AUGSBURG COLLEGE,55454-1350,55454,B42
581418202,AUGUSTA UNIVERSITY RESEARCH INSTITUTE INC,30912-0004,30912,B50
362166962,AUGUSTANA COLLEGE,61201-2210,61201,B42
460224588,AUGUSTANA COLLEGE ASSOCIATION,57197-0001,57197,B43
201359433,AULTMAN COLLEGE OF NURSING AND HEALTH SCIENCES,44710-1702,44710,B50
362166964,AURORA UNIVERSITY,60506-4877,60506,B43
750827409,AUSTIN COLLEGE,75090-4440,75090,B43
205649821,AUSTIN COMMUNITY COLLEGE CENTER FOR PUBLIC POLICY AND POLITICAL STUDIE,78752-4390,78752,B41
465191436,AUSTIN UNIVERSITY,94583-4210,94526,B43
383415373,AVE MARIA COLLEGE,34142-9505,34142,B42
383519708,AVE MARIA SCHOOL OF LAW,34119-1376,34119,B50
030482006,AVE MARIA UNIVERSITY INC,34142-9505,34142,B43
540129860,AVERETT UNIVERSITY,24541-3612,24541,B43
382948640,AVIATION DEPARTMENT PURCHASING CO-OP OF NORTHERN MICHIGAN UNIV,49855-5305,49855,B43
440617326,AVILA UNIVERSITY,64145-0000,64145,B43
454048078,AYN RAND STUDY GROUP AT THE UNIVERSITY OF MINNESOTA,55347-2010,55347,B43
850325587,AYURVEDIC INSTITUTE,87112-0008,87112,B50
364682140,AZUSA PACIFIC ONLINE UNIVERSITY,91740-5006,91740,B43
951744369,AZUSA PACIFIC UNIVERSITY,91702-2701,91702,B43
042103544,BABSON COLLEGE,02481-6834,2481,B43
474336051,BABY UNIVERSITY,43609-3272,43609,B43
730590036,BACONE BAPTIST CHURCH,74403-1568,74403,B42
912157623,BAINBRIDGE GRADUATE INSTITUTE,98104-2617,98104,B50
263897492,BAIS TORAS MENACHEM,90036-2623,90036,B50
381895805,BAKER COLLEGE,49442-1453,49442,B42
380321740,BAKER COLLEGE,48867-8956,48867,B43
383148566,BAKER COLLEGE,49202-1230,49202,B43
743075712,BAKER COLLEGE,48101-3033,48101,B42
383474279,BAKER COLLEGE,48326-2642,48326,B43
383474281,BAKER COLLEGE,48035-4701,48035,B41
383333920,BAKER COLLEGE,49601-9600,49601,B43
382805044,BAKER COLLEGE,48507-5516,48507,B43
383177823,BAKER COLLEGE,48867-8956,48867,B50
382901703,BAKER COLLEGE,48060-3104,48060,B43
830686168,BAKER COLLEGE GROUP RETURN,48867-8956,48867,B40
480543766,BAKER UNIVERSITY,66006-0065,66006,B43
911485907,BAKKE GRADUATE UNIVERSITY,98104-1222,98104,B50
340714629,BALDWIN WALLACE UNIVERSITY,44017-2088,44017,B43
820538478,BALTIMORE COLLEGE TOWN NETWORK INC,21212-0049,21212,B42
521115933,BALTIMORE INTERNATIONAL COLLEGE,21202-3208,21202,B42
520557750,BALTIMORE SCHOOL OF THE BIBLE INCORPORATED,21217-4367,21217,B42
010211484,BANGOR THEOLOGICAL SEMINARY,04401-9511,4401,B50
135562167,BANK STREET COLLEGE OF EDUCATION,10025-1898,10025,B50
150543962,BAPTIST BIBLE COLLEGE OF PENNSYLVANIA,18411-1250,18411,B43
621599670,BAPTIST MEMORIAL COLLEGE OF HEALTH SCIENCES INC,38104-3110,38104,B42
750959996,BAPTIST MISSIONARY ASSOCIATION THEOLOGICAL SEMINARY,75766-0670,75766,B50
611312812,BAPTIST SEMINARY OF KENTUCKY,40324-1620,40324,B50
742599785,BAPTIST UNIVERSITY OF THE AMERICAS,78224-0000,78224,B43
136192275,BAR ILAN UNIVERSITY IN ISRAEL,10022-3609,10022,B43
566007078,BARBER SCOTIA COLLEGE INC,28025-5143,28025,B42
480554341,BARCLAY COLLEGE ASSOCIATION INC,67059-9558,67059,B42
141713034,BARD COLLEGE,12504-5000,12504,B43
320105791,BARD COLLEGE BERLIN A LIBERAL ARTS UNIVERSITY GGMBH,12504-5000,12504,B42
131628149,BARNARD COLLEGE,10027-6909,10027,B42
823859330,BARON REAL ESTATE FOUNDATION INC,30445-0000,30445,B42
590624364,BARRY UNIVERSITY,33161-6628,33161,B43
560529933,BARTON COLLEGE,27893-7000,27893,B42
911036794,BASTYR UNIVERSITY,98028-4966,98028,B42
237022645,BAXTER SEMINARY ALUMNI ASSOCIATION,38544-0222,38544,B50
946108651,BAY CITIES BIBLE INSTITUTE,94701-4028,94701,B42
042103865,BAY PATH COLLEGE,01106-2212,1106,B43
741704354,BAY RIDGE CHRISTIAN COLLEGE,77451-0726,77451,B42
741613878,BAYLOR COLLEGE OF MEDICINE,77030-3411,77030,B50
202951275,BAYLOR COLLEGE OF MEDICINE INTERNATIONAL PEDIATRIC AIDS INITI,77030-3411,77030,B50
741159753,BAYLOR UNIVERSITY,94110-3066,76798,B43
592961536,BEACON COLLEGE INC,34748-5224,34748,B42
042108346,BECKER COLLEGE,02035-1368,2035,B42
640303069,BELHAVEN UNIVERSITY,39202-1754,39202,B43
610482955,BELLARMINE UNIVERSITY,40205-1863,40205,B43
470491571,BELLEVUE UNIVERSITY,68005-3058,68005,B43
391620530,BELLIN COLLEGE INC,54311-6830,54311,B42
560547498,BELMONT ABBEY COLLEGE,28012-1802,28012,B43
620465076,BELMONT UNIVERSITY,37212-3758,37212,B43
390808497,BELOIT COLLEGE,53511-5509,53511,B42
570314365,BENEDICT COLLEGE,29204-1058,29204,B42
480777079,BENEDICTINE COLLEGE,66002-1402,66002,B43
250964126,BENEDICTINE SOCIETY IN WESTMORELAND,15650-2667,15650,B43
362722198,BENEDICTINE UNIVERSITY,60532-2851,60532,B43
042103576,BENJAMIN FRANKLIN INSTITUTE OF TECHNOLOGY,02116-6307,2116,B40
560532296,BENNETT COLLEGE,27401-3239,27401,B42
030179414,BENNINGTON COLLEGE CORPORATION,05201-0000,5201,B43
041081650,BENTLEY UNIVERSITY,02452-4713,2452,B42
610444650,BEREA COLLEGE,40404-0001,40404,B42
822318499,BEREAN THEOLOGICAL COLLEGE & SEMINARY INC,53224-4548,53224,B42
061013935,BERKELEY DIVINITY SCHOOL,06511-2167,6511,B50
042300472,BERKLEE COLLEGE OF MUSIC INC,02215-3631,2215,B42
580566133,BERRY COLLEGE INC,30149-0129,30149,B43
261221063,BEST ACADEMY INC,55411-3968,55411,B40
550356985,BETHANY COLLEGE,26032-3002,26032,B42
480543734,BETHANY COLLEGE,67456-1817,67456,B42
550743341,BETHANY COLLEGE CNT TWEEDY FD,27894-2907,27894,B42
630840844,BETHANY DIVINITY COLLEGE AND SEMINARY INC,36301-6623,36301,B43
410747165,BETHANY LUTHERAN COLLEGE & SEMINARY INC,56001-6163,56001,B41
941393416,BETHANY UNIVERSITY OF THE ASSEMBLIES OF GOD,95829-1304,95829,B43
480543782,BETHEL COLLEGE,67117-8061,67117,B42
350935587,BETHEL COLLEGE INC,46545-2232,46545,B43
541851377,BETHEL COLLEGE INC,23666-3122,23666,B42
620548913,BETHEL UNIVERSITY,38201-1769,38201,B43
410708577,BETHEL UNIVERSITY,55112-6999,55112,B43
953104298,BETHESDA CHRISTIAN UNIVERSITY,92801-4115,92801,B43
590704726,BETHUNE COOKMAN UNIVERSITY,32114-3099,32114,B42
586055244,BEULAH HEIGHTS UNIVERSITY INCORPORATED,30316-0145,30316,B42
272008529,BEYOND CONFLICT,02138-5218,2138,B40
943021251,BHAKTIVEDANTA INSTITUTE,94703-0206,94703,B50
272190032,BIBLE SEMINARY,77450-1772,77450,B50
231937954,BIBLICAL THEOLOGICAL SEMINARY,19440-2421,19440,B50
237275328,BIG BEND COMMUNITY COLLEGE FOUNDATION,98837-3293,98837,B41
950549600,BIOLA UNIVERSITY INC,90639-0002,90639,B43
455513559,BIRCHAM INTERNATIONAL UNIVERSITY INC,33131-3800,33131,B43
630322671,BIRMINGHAM BAPTIST BIBLE COLLEGE,35211-0214,35211,B42
630288811,BIRMINGHAM SOUTHERN COLLEGE,35254-0001,35254,B42
367468174,BIRMINGHAM SOUTHERN COLLEGE THOMAS E JERNIGAN SCHOLARSHIP ENDOWMENT F JERNIGAN SCHOLARSHIP ENDOWMENT FUND,35296-0001,35296,B40
630846743,BIRMINGHAM THEOLOGICAL SEMINARY,35243-2900,35243,B50
931226663,BIRTHINGWAY COLLEGE OF MIDWIFERY,97266-4042,97266,B42
204775521,BIZDOM,48226-1906,48226,B50
370661491,BLACKBURN UNIVERSITY,62626-1401,62626,B42
810378943,BLACKFEET COMMUNITY COLLEGE,59417-5146,59417,B41
510179259,BLADEN COMMUNITY COLLEGE FOUNDATION INC,28332-0384,28332,B41
462869786,BLAIR COLLEGE OF ART INC,29015-9797,29015,B42
221494428,BLOOMFIELD COLLEGE & SEMINARY,07003-3425,7003,B42
463694746,BLUE CREEK LODGE AND STUDY CENTER,59844-9509,59844,B42
640325640,BLUE MOUNTAIN COLLEGE,38610-0160,38610,B42
463574768,BLUE RIBBON FOUNDATION,30188-2658,30188,B50
540568200,BLUEFIELD COLLEGE,24605-2050,24605,B42
660425542,BLUEWATER BIBLE COLLEGE & INSTITUTE,00802-8282,802,B42
344428207,BLUFFTON UNIVERSITY,45817-2104,45817,B43
392000481,BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM,53549-1976,53549,B43
263753199,BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM,53095-2585,53095,B43
391984639,BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM,53081-4760,53081,B43
273159457,BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM LAKEVIEW BADGERS 4 H CLUB,53081-4760,53081,B43
264197243,BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM WALWORTH COUNTY RABBIT PROJECT,53121-1001,53121,B43
861118177,BOARD OF REGENTS OF THE UNIVERSITY UNIVERSITY OF WISCONSIN DALTON DOERS 4 H CLUB,,54941,B43
221821292,BOARD OF TRUSTEES OF ESSEX COUNTY COLLEGE,07102-1719,7102,B41
261999384,BOILERMAKER HEALTH INNOVATIONS INC,47906-4182,47906,B43
820309302,BOISE BIBLE COLLEGE INC,83714-1220,83714,B42
510175975,BORICUA COLLEGE,10032-1560,10032,B43
042271070,BOSTON ARCHITECTURAL COLLEGE,02115-2703,2115,B50
042103545,BOSTON COLLEGE TRUSTEES,02467-0000,2467,B43
237410494,BOSTON GRADUATE SCHOOL OF PSYCHOANALYSIS INC,02446-4602,2446,B50
010215213,BOWDOIN COLLEGE,04011-8426,4011,B42
370661494,BRADLEY UNIVERSITY,61625-0001,61625,B43
133036302,BRAMSON ORT TECHNICAL INSTITUTE,11375-4222,11375,B41
474856081,BRANCH COLLEGE OF MINISTRY,92111-1307,92111,B42
042103552,BRANDEIS UNIVERSITY,02453-2728,2453,B43
260152908,BRANDMAN UNIVERSITY,92618-3801,92618,B43
462128143,BRAVES 2 COLLEGE LLC,42437-0209,42437,B42
900641348,BREAD OF LIFE THEOLOGICAL SEMINARY NORTH AMERICA,92618-2759,92618,B50
270041255,BREAKTHROUGH BIBLE INSTITUTE COLLEGE INC,20748-1852,20748,B42
580566143,BRENAU UNIVERSITY INC,30501-3628,30501,B43
610660795,BRESCIA UNIVERSITY INC,42301-3019,42301,B43
560532297,BREVARD COLLEGE CORPORATION,28712-4283,28712,B42
580619030,BREWTON PARKER COLLEGE INC,30445-0000,30445,B42
420707124,BRIAR CLIFF UNIVERSITY,51104-2324,51104,B43
270404689,BRIDGE TO COLLEGE,90401-2378,90401,B42
451226980,BRIDGES CHRISTIAN COLLEGE,27103-1815,27103,B42
822786697,BRIDGES GRADUATE SCHOOL OF COGNITIVE DIVERSITY IN EDUCATION,91604-3710,91604,B50
540506306,BRIDGEWATER COLLEGE,22812-1511,22812,B42
475664511,BRIGHAM YOUNG UNIVERSITY,84602-1014,84602,B43
825527047,BRIGHAM YOUNG UNIVERSITY,84602-0000,84602,B43
237121060,BRITE DIVINITY SCHOOL,76129-0001,76129,B50
980052780,BROCK UNIVERSITY,00000-0000,0,B43
260803844,BRONNER BUSINESS INSTITUTEINCORPORATED,30168-0000,30168,B40
237227990,BROOKLYN LAW SCHOOL,11201-3700,11201,B50
812847155,BROWN DERMATOLOGY INC,02903-4923,2903,B43
050258809,BROWN UNIVERSITY OF PROVIDENCE,02903-4202,2903,B43
050390989,BROWN UNIVERSITY RESEARCH FOUNDATION,02912-0001,2912,B43
620528217,BRYAN COLLEGE,37321-6275,37321,B42
262664906,BRYANT POND LEARNING CENTER,04219-0188,4219,B43
050258810,BRYANT UNIVERSITY,02917-1291,2917,B50
231352621,BRYN MAWR COLLEGE,19010-2899,19010,B43
240772407,BUCKNELL UNIVERSITY,17837-0000,17837,B43
420680404,BUENA VISTA UNIVERSITY,50588-1713,50588,B43
030229504,BURLINGTON COLLEGE,05401-2921,5401,B42
930433696,BUSHNELL UNIVERSITY,97401-3745,97401,B43
350867977,BUTLER UNIVERSITY,46208-3443,46208,B43
943153995,BUTTE COMMUNITY COLLEGE FOUNDATION,95965-8303,95965,B41
752387636,C S LEWIS CENTER FOR STUDY OF CTI,75016-7731,75016,B42
541802015,C S LEWIS INSTITUTE INC,22151-2110,22151,B50
231526668,CABRINI COLLEGE,19087-3623,19087,B43
721491229,CADETS OF THE OLE WAR SKULE LOUISIANA STATE UNIVERSITY,70884-4278,70884,B43
230973290,CAIRN UNIVERSITY,19047-2942,19047,B50
221500483,CALDWELL COLLEGE,07006-5310,7006,B43
272413495,CALIFORNIA ARTS UNIVERSITY,92833-2579,92833,B43
951890710,CALIFORNIA BAPTIST UNIVERSITY,92504-3206,92504,B43
731679393,CALIFORNIA CENTRAL UNIVERSITY,90710-1601,90710,B43
811665556,CALIFORNIA COALITION OF EARLY & MIDDLE COLLEGES,95207-3717,95207,B40
941156485,CALIFORNIA COLLEGE OF THE ARTS,94107-2247,94107,B50
383804031,CALIFORNIA COMMUNITY COLLEGES CHIEF INFORMATION SYSTEM OFFICERS ASSOCI,93301-4014,93301,B41
943355418,CALIFORNIA COMMUNITY COLLEGES CLASSIFIED SENATE,95973-4928,95973,B41
471275235,CALIFORNIA DIFFERENCE UNIVERSITY,90057-1396,90057,B43
953384325,CALIFORNIA GRADUATE SCHOOL OF THEOLOGY,92843-1340,92843,B50
824308876,CALIFORNIA INDIAN NATIONS COLLEGE CORPORATION,92211-5202,92211,B40
330494864,CALIFORNIA INSTITUTE FOR HUMAN SCIENCE,92024-2464,92024,B50
452648658,CALIFORNIA INSTITUTE OF ADVANCED MANAGEMENT,91803-8800,91803,B43
942254303,CALIFORNIA INSTITUTE OF INTEGRAL STUDIES,94103-2557,94103,B50
951643307,CALIFORNIA INSTITUTE OF TECHNOLOGY,91125-0001,91125,B43
